[03-Aug-2024 16:53:37 UTC] PHP Fatal error:  Cannot redeclare custom_usp_form() (previously declared in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php:9009) in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php on line 9057
[03-Aug-2024 16:53:52 UTC] PHP Fatal error:  Cannot redeclare custom_usp_form() (previously declared in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php:9009) in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php on line 9057
[03-Aug-2024 16:54:03 UTC] PHP Fatal error:  Cannot redeclare custom_usp_form() (previously declared in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php:9009) in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php on line 9057
[03-Aug-2024 18:05:02 UTC] PHP Warning:  Attempt to read property "post_content" on null in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php on line 9029
[03-Aug-2024 18:07:54 UTC] PHP Fatal error:  Cannot redeclare add_page_dropdown_to_usp_form() (previously declared in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php:9054) in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php on line 9074
[03-Aug-2024 18:07:55 UTC] PHP Fatal error:  Cannot redeclare add_page_dropdown_to_usp_form() (previously declared in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php:9054) in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php on line 9074
[03-Aug-2024 18:11:39 UTC] PHP Parse error:  syntax error, unexpected token "<", expecting end of file in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php on line 9008
[03-Aug-2024 18:11:39 UTC] PHP Parse error:  syntax error, unexpected token "<", expecting end of file in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php on line 9008
[03-Aug-2024 18:11:39 UTC] PHP Parse error:  syntax error, unexpected token "<", expecting end of file in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php on line 9008
[03-Aug-2024 18:11:39 UTC] PHP Parse error:  syntax error, unexpected token "<", expecting end of file in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php on line 9008
[03-Aug-2024 18:12:09 UTC] PHP Parse error:  syntax error, unexpected token "<" in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php on line 9023
[03-Aug-2024 18:12:09 UTC] PHP Parse error:  syntax error, unexpected token "<" in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php on line 9023
[03-Aug-2024 18:12:09 UTC] PHP Parse error:  syntax error, unexpected token "<" in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php on line 9023
[03-Aug-2024 18:12:09 UTC] PHP Parse error:  syntax error, unexpected token "<" in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php on line 9023
[03-Aug-2024 18:12:33 UTC] PHP Parse error:  syntax error, unexpected token "<", expecting end of file in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php on line 9008
[03-Aug-2024 18:12:33 UTC] PHP Parse error:  syntax error, unexpected token "<", expecting end of file in C:\Users\vduong\Local Sites\user-messages-site\app\public\wp-includes\functions.php on line 9008
